d,num_samples,sample_size_per_condition,percent_ns,mean_1,mean_2,sd,true_d,sig_counter,mean_d_sigonly,mean_d_sig_percent,mean_d_all
1.32,20000,200,0,100,119.8,15,1.3199999999999998,20000,1.3218368092873929,1.3218368092873929,1.3218368092873929
1.33,20000,200,0,100,119.95,15,1.3300000000000003,20000,1.333094386903424,1.333094386903424,1.333094386903424
1.34,20000,200,0,100,120.1,15,1.3399999999999996,20000,1.3418093775086013,1.3418093775086013,1.3418093775086013
1.35,20000,200,0,100,120.25,15,1.35,20000,1.3517569512912857,1.3517569512912857,1.3517569512912857
1.36,20000,200,0,100,120.4,15,1.3600000000000003,20000,1.3623813802203117,1.3623813802203117,1.3623813802203117
1.37,20000,200,0,100,120.55,15,1.3699999999999999,20000,1.372455144016804,1.372455144016804,1.372455144016804
1.3800000000000001,20000,200,0,100,120.7,15,1.3800000000000001,20000,1.3818251953107834,1.3818251953107834,1.3818251953107834
1.3900000000000001,20000,200,0,100,120.85,15,1.3899999999999997,20000,1.3934532997647338,1.3934532997647338,1.3934532997647338
1.4000000000000001,20000,200,0,100,121,15,1.4,20000,1.4030425055676001,1.4030425055676001,1.4030425055676001
1.41,20000,200,0,100,121.15,15,1.4100000000000004,20000,1.4117464516134453,1.4117464516134453,1.4117464516134453
1.42,20000,200,0,100,121.3,15,1.4199999999999997,20000,1.4238094456839818,1.4238094456839818,1.4238094456839818
1.43,20000,200,0,100,121.45,15,1.4300000000000002,20000,1.4327217107545898,1.4327217107545898,1.4327217107545898
1.44,20000,200,0,100,121.6,15,1.4399999999999997,20000,1.4419217381933518,1.4419217381933518,1.4419217381933518
1.45,20000,200,0,100,121.75,15,1.45,20000,1.4532105564223115,1.4532105564223115,1.4532105564223115
1.46,20000,200,0,100,121.9,15,1.4600000000000004,20000,1.4636835639092871,1.4636835639092871,1.4636835639092871
1.47,20000,200,0,100,122.05,15,1.4699999999999998,20000,1.4730127945289322,1.4730127945289322,1.4730127945289322
1.48,20000,200,0,100,122.2,15,1.4800000000000002,20000,1.4825169285880082,1.4825169285880082,1.4825169285880082
1.49,20000,200,0,100,122.35,15,1.4899999999999995,20000,1.4927176337875416,1.4927176337875416,1.4927176337875416
1.5,20000,200,0,100,122.5,15,1.5,20000,1.5039590787364494,1.5039590787364494,1.5039590787364494
1.51,20000,200,0,100,122.65,15,1.5100000000000005,20000,1.5131767344544071,1.5131767344544071,1.5131767344544071
1.52,20000,200,0,100,122.8,15,1.5199999999999998,20000,1.521496684574588,1.521496684574588,1.521496684574588
1.53,20000,200,0,100,122.95,15,1.5300000000000002,20000,1.5327997906165503,1.5327997906165503,1.5327997906165503
1.54,20000,200,0,100,123.1,15,1.5399999999999996,20000,1.5435071768530428,1.5435071768530428,1.5435071768530428
1.55,20000,200,0,100,123.25,15,1.55,20000,1.5523016915081675,1.5523016915081675,1.5523016915081675
1.56,20000,200,0,100,123.4,15,1.5600000000000003,20000,1.5639879538575363,1.5639879538575363,1.5639879538575363
1.57,20000,200,0,100,123.55,15,1.5699999999999998,20000,1.5723394783936835,1.5723394783936835,1.5723394783936835
